8	25
9	18
8	10
20	28
17	18
11	13
7	10
9	10
20	23
34	35
23	40
79	90
15	17
12	12
8	11
10	13
10	12
46	48
7	18
7	10
4	11
5	49
4	13
20	22
25	35
12	12
45	48
14	25
11	18
12	14
43	46
11	14
2	15
17	30
11	18
9	18
6	18
6	39
9	13
12	13
41	43
3	10
7	12
8	15
12	14
11	12
18	24
4	13
122	127
29	42
1	10
0	11
16	16
0	19
2	11
1	16
28	31
1	40
22	30
5	48
3	17
1	10
13	14
10	13
122	139
11	102
0	12
7	26
101	105
12	12
12	32
17	18
2	19
6	15
18	65
108	122
121	127
17	35
12	15
203	236
298	300
13	14
16	23
37	42
4	11
2	64
13	13
401	420
19	19
2	11
7	11
219	231
17	19
13	14
24	25
36	127
14	16
8	10
2	10
7	12
22	52
0	11
22	72
2	16
33	47
10	11
3	10
47	537
9	12
9	15
8	10
4	10
6	19
14	14
13	15
7	30
24	29
10	12
8	11
1135	1154
8	11
13	14
1	13
18	27
6	36
36	44
7	15
10	13
47	48
11	16
3	12
4	10
0	37
14	16
7	16
9	10
1	10
0	14
9	17
19	21
6	11
7	87
1	35
14	26
2	19
26	41
23	40
10	12
13	17
9	11
9	10
5	13
6	11
87	120
1	18
11	12
1	10
34	36
11	21
73	80
24	30
75	77
3	11
11	12
6	10
31	34
1	10
3	11
2	12
20	28
789	971
5	14
3	12
14	17
15	18
14	38
6	18
23	44
7	13
28	39
4	24
12	16
21	49
33	47
3	10
52	119
30	68
13	44
24	26
6	12
0	10
11	12
4	10
13	20
9	10
17	22
6	10
6	21
40	46
40	42
16	18
15	17
1	16
15	22
9	12
11	15
8	11
25	33
4	15
37	40
7	10
23	29
11	40
0	10
27	72
3	29
5	21
12	13
42	51
8	21
12	14
22	38
57	58
15	19
54	65
12	15
9	16
19	26
3	14
2	14
10	12
14	16
6	10
10	13
18	31
22	23
13	49
34	57
6	13
8	17
10	10
10	10
10	10
10	11
14	18
0	12
8	11
7	14
14	22
71	78
10	19
3	31
6	10
8	21
6	11
18	20
